epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.02027,1.6228,3.54981,1.83766,0.0034,1,0.34198,0.19329,1.15467,3.18277,1.49954,0.00025,0.00025,0.00025
2,13.2744,1.25575,2.6942,1.4585,0.61968,0.39864,0.4105,0.25264,1.19896,2.57362,1.50621,0.000502353,0.000502353,0.000502353
3,16.8965,1.28352,2.46261,1.43732,0.47889,0.33053,0.50481,0.26468,1.28518,2.67336,1.52352,0.00074431,0.00074431,0.00074431
4,20.4538,1.24898,2.36,1.40799,0.51721,0.3162,0.42725,0.25198,1.20528,2.73418,1.43552,0.000975872,0.000975872,0.000975872
5,23.8969,1.28337,2.18087,1.38543,0.52132,0.66621,0.6907,0.41412,1.17858,2.39333,1.50793,0.001151,0.001151,0.001151
6,27.3428,1.2545,2.129,1.38493,0.17316,0.48011,0.28585,0.13207,1.81017,2.98856,2.12823,0.00112625,0.00112625,0.00112625
7,30.7806,1.23334,2.00812,1.33434,0.46676,0.81467,0.79495,0.48563,1.25117,2.26027,1.6329,0.0011015,0.0011015,0.0011015
8,34.2557,1.25385,1.93119,1.36429,0.60812,0.654,0.74015,0.48956,1.08264,1.79475,1.42747,0.00107675,0.00107675,0.00107675
9,37.714,1.24653,1.81472,1.34325,0.85595,0.25,0.31823,0.20305,1.14859,3.23598,1.39272,0.001052,0.001052,0.001052
10,41.1614,1.19254,1.77023,1.30296,0.65321,0.89,0.87187,0.53844,1.29245,1.54231,1.51072,0.00102725,0.00102725,0.00102725
11,44.6021,1.20022,1.65948,1.31601,0.61153,0.50391,0.74466,0.48898,1.13617,2.65063,1.42374,0.0010025,0.0010025,0.0010025
12,48.0001,1.18902,1.54744,1.26633,0.84681,0.68504,0.73579,0.45823,1.191,1.68289,1.40596,0.00097775,0.00097775,0.00097775
13,51.4876,1.18233,1.49152,1.27564,0.77214,0.81885,0.85276,0.5572,1.15036,1.28338,1.37729,0.000953,0.000953,0.000953
14,55.0017,1.20248,1.42902,1.29083,0.82179,0.9209,0.89344,0.56799,1.22063,1.16306,1.43728,0.00092825,0.00092825,0.00092825
15,58.4038,1.19639,1.37885,1.28424,0.95649,0.98279,0.99382,0.68295,1.11801,0.91794,1.35346,0.0009035,0.0009035,0.0009035
16,61.8644,1.17722,1.39451,1.29476,0.97807,0.9964,0.995,0.66854,1.16363,0.7636,1.37399,0.00087875,0.00087875,0.00087875
17,65.3199,1.14758,1.30752,1.27112,0.98839,1,0.995,0.6875,1.15352,0.77091,1.38427,0.000854,0.000854,0.000854
18,68.7908,1.19991,1.28435,1.28542,0.97049,0.98609,0.995,0.68908,1.14103,0.78128,1.36497,0.00082925,0.00082925,0.00082925
19,72.2704,1.13616,1.23547,1.26,0.84245,0.95519,0.93187,0.68773,1.04196,0.95425,1.27796,0.0008045,0.0008045,0.0008045
20,75.7354,1.17731,1.19624,1.23671,0.92128,0.96908,0.99385,0.68138,1.14206,0.78257,1.37765,0.00077975,0.00077975,0.00077975
21,79.1713,1.13479,1.15816,1.22349,0.85314,1,0.99126,0.69329,1.08941,0.77047,1.32997,0.000755,0.000755,0.000755
22,82.6575,1.12764,1.13797,1.23371,0.94534,0.94628,0.995,0.68765,1.10966,0.74317,1.36081,0.00073025,0.00073025,0.00073025
23,86.1171,1.12537,1.17185,1.2536,0.89736,0.93119,0.98683,0.70711,1.07038,0.86714,1.32621,0.0007055,0.0007055,0.0007055
24,89.5216,1.10969,1.13373,1.23297,0.98907,1,0.995,0.70856,1.08927,0.65496,1.32813,0.00068075,0.00068075,0.00068075
25,92.9295,1.1244,1.1399,1.23375,0.98565,1,0.995,0.70409,1.08835,0.66112,1.31915,0.000656,0.000656,0.000656
26,96.4494,1.11831,1.08534,1.22731,0.98394,1,0.995,0.68157,1.10996,0.6534,1.33781,0.00063125,0.00063125,0.00063125
27,99.8918,1.07365,1.06861,1.22348,0.99399,1,0.995,0.70138,1.05882,0.64482,1.29599,0.0006065,0.0006065,0.0006065
28,103.251,1.11768,1.0404,1.24152,0.98666,0.9988,0.995,0.71764,1.0427,0.64615,1.29291,0.00058175,0.00058175,0.00058175
29,106.676,1.08403,1.06724,1.21663,0.98693,0.99918,0.995,0.72257,1.0143,0.65183,1.26578,0.000557,0.000557,0.000557
30,110.15,1.06496,1.027,1.20585,0.99292,0.97382,0.995,0.71126,1.03622,0.67168,1.27999,0.00053225,0.00053225,0.00053225
31,113.55,1.07223,0.99858,1.2202,0.99213,1,0.995,0.71309,1.03932,0.58659,1.28791,0.0005075,0.0005075,0.0005075
32,117.018,1.08577,0.986,1.22348,0.9896,1,0.995,0.70532,1.05951,0.60587,1.30113,0.00048275,0.00048275,0.00048275
33,120.393,1.05906,0.926,1.18574,0.98335,1,0.995,0.69408,1.09614,0.67075,1.30101,0.000458,0.000458,0.000458
34,123.84,1.0425,0.9465,1.20332,0.98595,0.99774,0.995,0.71342,1.03344,0.60798,1.27848,0.00043325,0.00043325,0.00043325
35,127.298,1.01499,0.91986,1.18678,0.98912,1,0.995,0.70207,1.11288,0.62612,1.31934,0.0004085,0.0004085,0.0004085
36,130.638,1.07784,0.91303,1.19331,0.99104,1,0.995,0.70189,1.06569,0.56849,1.30789,0.00038375,0.00038375,0.00038375
37,134.087,1.04464,0.90866,1.18463,0.98982,1,0.995,0.71332,1.03785,0.59087,1.28019,0.000359,0.000359,0.000359
38,137.49,1.03954,0.89406,1.20357,0.98276,0.98904,0.995,0.73192,1.03008,0.58264,1.28531,0.00033425,0.00033425,0.00033425
39,140.983,1.00053,0.87582,1.17936,0.97385,0.99434,0.995,0.70394,1.11423,0.58959,1.33612,0.0003095,0.0003095,0.0003095
40,144.369,1.02873,0.88104,1.18384,0.99073,1,0.995,0.70156,1.06905,0.57066,1.32279,0.00028475,0.00028475,0.00028475
41,180.367,1.04276,0.77627,1.28804,0.99068,1,0.995,0.69987,1.10442,0.59789,1.30997,0.00026,0.00026,0.00026
42,184.732,1.03158,0.77028,1.27431,0.99345,1,0.995,0.72048,1.02037,0.5541,1.29065,0.00023525,0.00023525,0.00023525
43,188.248,1.01777,0.75563,1.23502,0.98932,1,0.995,0.72777,0.99942,0.55553,1.26275,0.0002105,0.0002105,0.0002105
44,191.774,0.98564,0.73405,1.22613,0.99167,1,0.995,0.72696,0.97504,0.53612,1.24655,0.00018575,0.00018575,0.00018575
45,195.205,0.99486,0.72699,1.26186,0.99103,1,0.995,0.72405,1.01444,0.52435,1.25514,0.000161,0.000161,0.000161
46,198.747,0.97893,0.69748,1.24079,0.99301,1,0.995,0.7206,0.99938,0.51739,1.2682,0.00013625,0.00013625,0.00013625
47,202.184,0.95746,0.69046,1.2395,0.99344,1,0.995,0.71601,1.00393,0.51421,1.25947,0.0001115,0.0001115,0.0001115
48,205.692,0.94685,0.67766,1.19817,0.99244,1,0.995,0.71626,1.02411,0.51796,1.26715,8.675e-05,8.675e-05,8.675e-05
49,209.187,0.94884,0.66976,1.22633,0.99402,1,0.995,0.72419,0.97281,0.49138,1.24911,6.2e-05,6.2e-05,6.2e-05
50,212.653,0.90478,0.65027,1.19674,0.99367,1,0.995,0.71984,0.96834,0.4941,1.23909,3.725e-05,3.725e-05,3.725e-05
