epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.6209,1.01996,2.25423,1.36356,0.23929,0.95556,0.75222,0.64265,0.67528,2.51614,1.13603,0.000539324,0.000539324,0.000539324
2,29.9142,0.6532,1.22699,1.04327,0.87091,0.7724,0.84018,0.6248,1.04116,1.60691,1.34245,0.00107331,0.00107331,0.00107331
3,42.9152,0.68367,1.13242,1.0493,0.89092,0.8845,0.90046,0.67565,0.84268,1.32609,1.17972,0.00158529,0.00158529,0.00158529
4,64.5103,0.66088,0.9809,1.03203,0.90666,0.91664,0.94795,0.76612,0.62078,1.19841,1.06121,0.00156798,0.00156798,0.00156798
5,84.9042,0.62793,0.89844,1.00713,0.88999,0.85553,0.94361,0.79516,0.59819,0.95349,1.04109,0.00153497,0.00153497,0.00153497
6,106.351,0.57785,0.80721,1.00183,0.96749,0.92222,0.96069,0.84577,0.53124,0.83208,0.96665,0.00150197,0.00150197,0.00150197
7,119.922,0.61455,0.74676,1.00224,0.9722,0.92043,0.96424,0.82852,0.56244,0.82315,0.98616,0.00146896,0.00146896,0.00146896
8,131.62,0.57855,0.68306,0.99151,0.98751,0.94444,0.96636,0.88879,0.41496,0.67438,0.89077,0.00143595,0.00143595,0.00143595
9,143.385,0.54385,0.65093,0.97173,0.98136,0.95612,0.97596,0.87485,0.46204,0.48231,0.92167,0.00140295,0.00140295,0.00140295
10,154.958,0.53291,0.59715,0.97553,0.95097,0.94444,0.96834,0.87582,0.43118,0.45928,0.92554,0.00136994,0.00136994,0.00136994
11,166.481,0.50904,0.53983,0.96344,0.98918,0.95556,0.97653,0.91551,0.34736,0.34846,0.87837,0.00133693,0.00133693,0.00133693
12,178.118,0.53294,0.55411,0.96611,0.98743,0.94904,0.97065,0.901,0.38051,0.39265,0.89553,0.00130393,0.00130393,0.00130393
13,189.656,0.51088,0.52722,0.95376,0.9814,0.96667,0.97532,0.91955,0.36149,0.35129,0.89786,0.00127092,0.00127092,0.00127092
14,201.333,0.47064,0.4761,0.94919,0.9973,0.94331,0.97778,0.92284,0.33861,0.31275,0.87264,0.00123791,0.00123791,0.00123791
15,212.825,0.49524,0.49235,0.95513,0.97871,0.95,0.97744,0.9264,0.33288,0.33861,0.86831,0.00120491,0.00120491,0.00120491
16,224.332,0.50165,0.48834,0.968,0.97726,0.96862,0.98434,0.93703,0.33023,0.36238,0.87121,0.0011719,0.0011719,0.0011719
17,235.907,0.46582,0.46158,0.94464,0.98212,0.96667,0.97873,0.92357,0.36567,0.29843,0.87301,0.00113889,0.00113889,0.00113889
18,247.548,0.47559,0.45417,0.94153,0.98817,0.96005,0.97944,0.92452,0.36881,0.32354,0.88194,0.00110589,0.00110589,0.00110589
19,259.185,0.47199,0.45037,0.94461,0.98169,0.9486,0.97695,0.93355,0.29799,0.30728,0.8589,0.00107288,0.00107288,0.00107288
20,270.738,0.45116,0.41863,0.93192,0.97162,0.96667,0.97866,0.9354,0.29991,0.30779,0.85159,0.00103987,0.00103987,0.00103987
21,282.325,0.44882,0.41473,0.93787,0.9842,0.96111,0.9858,0.94389,0.28872,0.25471,0.84557,0.00100687,0.00100687,0.00100687
22,293.866,0.41301,0.37716,0.92272,0.98808,0.96667,0.98114,0.93824,0.29012,0.26247,0.84836,0.000973861,0.000973861,0.000973861
23,305.42,0.43562,0.40226,0.93423,0.97909,0.97778,0.98892,0.94257,0.29648,0.24599,0.85763,0.000940855,0.000940855,0.000940855
24,317.004,0.42439,0.3822,0.93712,0.98272,0.96111,0.98677,0.9324,0.32857,0.28927,0.86541,0.000907848,0.000907848,0.000907848
25,331.454,0.44101,0.38047,0.9343,0.98279,0.97681,0.98303,0.94479,0.27679,0.25414,0.83864,0.000874842,0.000874842,0.000874842
26,353.11,0.42333,0.37262,0.92269,0.99376,0.96667,0.98326,0.94825,0.27679,0.2408,0.84591,0.000841835,0.000841835,0.000841835
27,374.443,0.4186,0.37275,0.92304,0.9967,0.95547,0.97951,0.93906,0.2729,0.24378,0.85177,0.000808828,0.000808828,0.000808828
28,394.922,0.41355,0.35404,0.92484,0.98964,0.94885,0.98212,0.94429,0.29119,0.24278,0.85552,0.000775822,0.000775822,0.000775822
29,415.879,0.40228,0.35137,0.93879,0.97718,0.97458,0.98391,0.94878,0.26788,0.2221,0.83703,0.000742815,0.000742815,0.000742815
30,436.618,0.40776,0.35958,0.91924,0.98915,0.95963,0.98025,0.94504,0.25487,0.2343,0.84412,0.000709809,0.000709809,0.000709809
31,457.223,0.40278,0.33985,0.91573,0.97342,0.97121,0.98211,0.95504,0.26336,0.23156,0.83425,0.000676802,0.000676802,0.000676802
32,477.646,0.39899,0.33413,0.91655,0.99571,0.95556,0.98633,0.95097,0.25071,0.20481,0.82463,0.000643795,0.000643795,0.000643795
33,498.171,0.373,0.32463,0.91154,0.9943,0.96111,0.98521,0.95237,0.24704,0.2045,0.82459,0.000610789,0.000610789,0.000610789
34,518.725,0.36456,0.3078,0.91052,0.99386,0.97222,0.98731,0.95796,0.23535,0.18902,0.81834,0.000577782,0.000577782,0.000577782
35,539.555,0.36357,0.30635,0.9064,0.98919,0.97778,0.98546,0.95264,0.26424,0.19614,0.83452,0.000544776,0.000544776,0.000544776
36,560.843,0.33446,0.28569,0.88758,0.98912,0.97778,0.98464,0.95514,0.26095,0.20708,0.82309,0.000511769,0.000511769,0.000511769
37,583.166,0.35491,0.29499,0.89904,0.98954,0.97442,0.98818,0.96467,0.22807,0.18741,0.81502,0.000478762,0.000478762,0.000478762
38,603.829,0.33776,0.2939,0.88578,0.99051,0.96111,0.98641,0.95736,0.23086,0.18357,0.81436,0.000445756,0.000445756,0.000445756
39,624.881,0.33324,0.27713,0.89683,0.97887,0.97119,0.98274,0.95362,0.23592,0.19568,0.82049,0.000412749,0.000412749,0.000412749
40,647.277,0.35094,0.2902,0.90381,0.98978,0.97637,0.98655,0.96135,0.22837,0.19491,0.81439,0.000379743,0.000379743,0.000379743
41,667.203,0.26414,0.25071,0.82756,0.98854,0.97222,0.98842,0.95794,0.23061,0.18455,0.81908,0.000346736,0.000346736,0.000346736
42,687.259,0.24691,0.23243,0.83755,0.98989,0.97689,0.98866,0.96339,0.22317,0.18603,0.81369,0.000313729,0.000313729,0.000313729
43,707.23,0.23509,0.21846,0.8277,0.97506,0.97243,0.98867,0.96576,0.21745,0.18152,0.81146,0.000280723,0.000280723,0.000280723
44,726.546,0.23642,0.20927,0.81796,0.99079,0.97778,0.98973,0.96248,0.21943,0.17216,0.81385,0.000247716,0.000247716,0.000247716
45,737.612,0.24183,0.21871,0.82764,0.98494,0.97778,0.98982,0.96154,0.22239,0.17348,0.81642,0.00021471,0.00021471,0.00021471
46,748.73,0.23043,0.20653,0.81584,0.98291,0.98333,0.98929,0.96541,0.22158,0.17504,0.81433,0.000181703,0.000181703,0.000181703
47,762.484,0.22038,0.19999,0.82657,0.99127,0.97669,0.98905,0.96628,0.20615,0.16372,0.81114,0.000148696,0.000148696,0.000148696
48,783.573,0.20732,0.18713,0.80103,0.98926,0.98236,0.98899,0.96523,0.20822,0.16165,0.81359,0.00011569,0.00011569,0.00011569
49,798.529,0.19732,0.17436,0.79873,0.99484,0.97775,0.98887,0.96402,0.20946,0.15732,0.81425,8.26832e-05,8.26832e-05,8.26832e-05
50,809.689,0.20749,0.18516,0.80292,0.99523,0.97996,0.98902,0.96655,0.20679,0.15203,0.81294,4.96766e-05,4.96766e-05,4.96766e-05
